,src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,label,flowsimhashvalue,src2dst_bytes_data_ratio,dst2src_bytes_data_ratio
155,443,5814,6,4,19181,37847,36949677,19181,24707,36117719,19181,13140,831958,web,7058123952,0.9774840250971611,0.022515974902838798
156,5881,443,6,4,16640,70,50917,16640,15,11504,16546,55,39413,web,6970932663,0.22593632774908184,0.7740636722509182
157,49383,50928,17,4,8664,22,2578,8584,11,1299,8643,11,1279,network,8174136496,0.5038789759503491,0.4961210240496509
158,49393,19302,17,4,10115,4,408,10056,2,124,10061,2,284,network,7176409141,0.30392156862745096,0.696078431372549
159,49403,19302,17,4,68,2,204,0,1,62,0,1,142,network,7167873075,0.30392156862745096,0.696078431372549
160,49393,7369,17,4,14969,238,33796,14969,238,33796,0,0,0,network,7312651190,1.0,0.0
161,58558,19302,17,4,10136,4,408,10078,2,124,10079,2,284,network,7040021174,0.30392156862745096,0.696078431372549
162,58568,19302,17,4,10136,4,408,10078,2,124,10079,2,284,network,7042135224,0.30392156862745096,0.696078431372549
163,58560,5490,17,4,5870,51,8355,5792,26,4331,5823,25,4024,network,7498910001,0.5183722321962897,0.48162776780371036
164,49391,58987,17,4,14826,68,11197,14653,34,6049,14794,34,5148,network,8589823281,0.5402339912476556,0.45976600875234436
165,58562,18389,17,4,14943,238,33796,14943,238,33796,0,0,0,network,7448891703,1.0,0.0
166,58578,19302,17,4,10135,4,408,10077,2,124,10069,2,284,network,7042135224,0.30392156862745096,0.696078431372549
167,58588,19302,17,4,10116,4,408,10065,2,124,10061,2,284,network,7024832688,0.30392156862745096,0.696078431372549
168,58584,50892,17,4,12960,62,10837,12932,31,6067,12950,31,4770,network,8539271089,0.559841284488327,0.44015871551167296
169,55558,19302,17,4,50,2,204,0,1,62,0,1,142,network,7176345141,0.30392156862745096,0.696078431372549
170,55568,19302,17,4,50,2,204,0,1,62,0,1,142,network,7168021561,0.30392156862745096,0.696078431372549
171,5902,443,6,4,11042,1260,1462934,11042,274,16712,10997,986,1446222,web,7107231414,0.011423618563790301,0.9885763814362097
172,58598,19302,17,4,61,2,204,0,1,62,0,1,142,network,7040037040,0.30392156862745096,0.696078431372549
173,58608,19302,17,4,61,2,204,0,1,62,0,1,142,network,7042118322,0.30392156862745096,0.696078431372549
174,49373,19302,17,4,71,2,204,0,1,62,0,1,142,network,6912021811,0.30392156862745096,0.696078431372549
175,58618,19302,17,4,60,2,204,0,1,62,0,1,142,network,7040021682,0.30392156862745096,0.696078431372549
176,58624,6546,17,4,6254,80,12243,157,10,2218,6218,70,10025,network,6800780214,0.18116474720248305,0.8188352527975169
177,58622,49605,17,4,8378,54,9436,8378,27,4995,8346,27,4441,network,6442412465,0.5293556591776176,0.4706443408223824
178,58628,19302,17,4,62,2,204,0,1,62,0,1,142,network,7042135732,0.30392156862745096,0.696078431372549
179,58638,19302,17,4,62,2,204,0,1,62,0,1,142,network,7040038580,0.30392156862745096,0.696078431372549
180,58628,4480,17,4,0,1,154,0,1,154,0,0,0,network,6800648626,1.0,0.0
181,58634,9628,17,4,7977,127,18034,7977,127,18034,0,0,0,network,7448826163,1.0,0.0
182,5872,443,6,4,11,2,121,0,1,55,0,1,66,web,8547568435,0.45454545454545453,0.5454545454545454
183,5932,443,6,4,51,2,121,0,1,55,0,1,66,web,7507647795,0.45454545454545453,0.5454545454545454
184,5940,443,6,4,17,2,121,0,1,55,0,1,66,web,7516028339,0.45454545454545453,0.5454545454545454
185,5713,443,6,4,29,2,121,0,1,55,0,1,66,web,6979140023,0.45454545454545453,0.5454545454545454
186,5945,443,6,4,52,2,121,0,1,55,0,1,66,web,6844710326,0.45454545454545453,0.5454545454545454
187,58648,19302,17,4,53,2,204,0,1,62,0,1,142,network,7042117814,0.30392156862745096,0.696078431372549
188,58658,19302,17,4,61,2,204,0,1,62,0,1,142,network,7040021174,0.30392156862745096,0.696078431372549
189,58656,64155,17,4,1308,41,7579,1308,21,4101,1256,20,3478,network,8547979057,0.5411004090249373,0.45889959097506267
190,58650,4480,17,4,1280,39,6459,1280,20,3308,1246,19,3151,network,6912020791,0.5121535841461526,0.48784641585384736
191,58648,4480,17,4,1961,5,770,1961,5,770,0,0,0,network,6809185716,1.0,0.0
192,58648,4480,17,4,1419,38,6349,1419,20,3307,1366,18,3042,network,6809266610,0.5208694282564184,0.47913057174358165
193,5968,443,6,4,206,15,4143,206,8,3216,150,7,927,web,6945427255,0.776249094858798,0.22375090514120202
