id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.label,udps.flowsimhashvalue
48,0,"123.119.185.213","2c:b2:1a:55:86:07","2c:b2:1a",34126,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55566,17,4,0,0,1678200179942,1678200188367,8425,23,3037,1678200179942,1678200188367,8425,11,1279,1678200179943,1678200188367,8424,12,1758,"STUN","Network",0,6,"","","","","","Unspecified","7314764208"
49,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55552,"110.72.96.56","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200180130,1678200186984,6854,18,2160,1678200180130,1678200186910,6780,10,1193,1678200180158,1678200186984,6826,8,967,"STUN","Network",0,6,"","","","","","Unspecified","7218284597"
50,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58560,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200180996,1678200181053,57,2,204,1678200180996,1678200180996,0,1,62,1678200181053,1678200181053,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7167954993"
51,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58570,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200180996,1678200181053,57,2,204,1678200180996,1678200180996,0,1,62,1678200181053,1678200181053,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7042134192"
52,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58556,"123.113.80.22","2c:b2:1a:55:86:07","2c:b2:1a",24497,17,4,0,0,1678200181079,1678200186992,5913,55,9152,1678200181079,1678200186914,5835,27,4810,1678200181112,1678200186992,5880,28,4342,"STUN","Network",0,6,"","","","","","Unspecified","7168021561"
53,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58580,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200183022,1678200183087,65,2,204,1678200183022,1678200183022,0,1,62,1678200183087,1678200183087,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7024832688"
54,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58590,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200183022,1678200193156,10134,4,408,1678200183022,1678200193098,10076,2,124,1678200183087,1678200193156,10069,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7312142768"
55,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58586,"202.99.113.252","2c:b2:1a:55:86:07","2c:b2:1a",18055,17,4,0,0,1678200183215,1678200196859,13644,218,30956,1678200183215,1678200196859,13644,218,30956,0,0,0,0,0,"STUN","Network",0,6,"","","","","","Unspecified","6912151863"
56,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58588,"221.10.43.198","2c:b2:1a:55:86:07","2c:b2:1a",19867,17,4,0,0,1678200183215,1678200196859,13644,218,30956,1678200183215,1678200196859,13644,218,30956,0,0,0,0,0,"STUN","Network",0,6,"","","","","","Unspecified","7176327735"
57,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55560,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200185126,1678200185193,67,2,204,1678200185126,1678200185126,0,1,62,1678200185193,1678200185193,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7167956017"
58,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5955,"106.8.151.228","2c:b2:1a:55:86:07","2c:b2:1a",80,6,4,0,0,1678200186384,1678200186584,200,16,4688,1678200186384,1678200186512,128,8,4008,1678200186443,1678200186584,141,8,680,"HTTP.Alibaba","Web",0,6,"static-pcs-sdk-server.alibaba.com","","","WinHttpClient","application/json","web","7499308341"
59,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5911,"47.92.40.19","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200186819,1678200194670,7851,75,31843,1678200186819,1678200194614,7795,35,11899,1678200186896,1678200194670,7774,40,19944,"TLS","Web",0,6,"","","","","","web","8300415029"
60,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58600,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200186931,1678200186992,61,2,204,1678200186931,1678200186931,0,1,62,1678200186992,1678200186992,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7042118322"
61,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49375,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200187075,1678200187146,71,2,204,1678200187075,1678200187075,0,1,62,1678200187146,1678200187146,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","6912038197"
62,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58610,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188001,1678200188062,61,2,204,1678200188001,1678200188001,0,1,62,1678200188062,1678200188062,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7040020658"
63,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58620,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188002,1678200188062,60,2,204,1678200188002,1678200188002,0,1,62,1678200188062,1678200188062,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7025357492"
64,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58620,"112.64.62.233","2c:b2:1a:55:86:07","2c:b2:1a",19686,17,4,0,0,1678200188147,1678200196836,8689,53,9053,1678200188147,1678200196836,8689,27,4843,1678200188182,1678200196835,8653,26,4210,"STUN","Network",0,6,"","","","","","Unspecified","7041873072"
